Designator,Footprint,Quantity,Value,LCSC Part #
AIR601,4525DO-DS5AI015DP,1,4525DO-DS5AI015DP,
"C201, C202, C307, C404, C505, C506, C508",0805,7,0.1u,
"C301, C302, C303, C304, C305, C306, C601",0805,7,100n,
C308,0805,1,1400n,
"C401, C402",0805,2,3.3u,
C403,0805,1,10u,
C405,0805,1,NC,
C501,0805,1,4.7u,
"C502, C503, C504",0805,3,47p,
C507,0805,1,10n,
D401,LEDC2012X80N,1,LED,
D402,DIOM5436X330N,1,LSM115JE3_TR13,
D501,LEDM2012X100N,1,LED BLAU,
D502,0805,1,LED Orange,
FB501,0805,1,FerriteBead,
IC301,QFP50P1200X1200X160-64N,1,STM32L452RET6,
IC401,SOIC127P600X170-9N,1,TPS7B8633QDDARQ1,
IC402,SOT95P280X100-6N,1,MP62550DJ-LF-Z,
J301,PinHeader_1x02_P2.54mm_Vertical,1,ResertConnector,
J302,Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical,1,Conn_01x06_Socket,
J303,MEM20610118800A,1,MEM2061-01-188-00-A,
J401,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J502,21731573,1,2173157-3,
"R301, R401, R402, R403",0805,4,10K,
"R302, R303, R405, R501",0805,4,0,
R404,0805,1,52.3k 1%ACC,
R406,0805,1,68,
R502,0805,1,DO NOT CONNECT,
R503,0805,1,20,
R504,0805,1,56,
"S201, S202",TM1000Q,2,TM1000Q,
TP301,TestPoint_Pad_D1.5mm,1,SWO,
TP302,TestPoint_Pad_D1.5mm,1,~{nRST},
TP303,TestPoint_Pad_D1.5mm,1,SWDIO,
TP304,TestPoint_Pad_D1.5mm,1,GND,
TP305,TestPoint_Pad_D1.5mm,1,SWCLK,
TP306,TestPoint_Pad_D1.5mm,1,3.3V,
"TP401, TP501, TP502, TP503, TP504, TP505, TP506, TP507, TP508, TP509, TP510",TestPoint_Pad_D1.5mm,11,TestPoint,
U201,ADXL372BCCZ-RL7,1,ADXL372BCCZ-RL7,
U501,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
